1152 .37
1872 .49
1872 .49
2592 .62
2592 .63
2880 .73
3312 .86
3312 .86
3888 1.05
3888 1.05
4032 1.10
4032 1.10
4896 1.49
4896 1.49
5184 1.52
5904 2.03
5904 2.04
6480 2.38
6480 2.39
7776 3.07
7776 3.07
8064 3.42
9648 4.71
9648 4.71
11520 5.27
