# Size   time [s]
  3312    686
  4896    2317
  6480    5100
  8064    7140
  2592    140.5382
  3888    453.5233
  5184    1021
  6480    2086
  1872    72.2443
  2880    254.9846
  3888    578.7338
  4896    866
  1152    17.6464
  1872    70.3070
  2592    187.0131
  3312    383.6001
