# Size   time [s]
  4032    14.7796   
  5904    33.8626   
  7776    64.9515   
  9648    103.8690   
  3312    14.0067   
  4896    28.1238   
  6480    66.1712   
  8064    69.4483   
  2592    7.8115   
  3888    24.2244   
  5184    36.6213   
  6480    126.3555   
  1872    2.5806   
  2880    5.4600   
  3888    14.2972   
  4896    23.4827   
  5904    36.5060   
  1152    1.1897   
  1872    2.6309   
  2592    6.5936   
  3312    11.6432   
  4032    17.1446   
