# Size   time [s]
  4032    166.8618
  5904    487.5377
  7776    1139
  9648    2046
  11520    3576
  3312    119.8156
  4896    369.3220
  6480    1412
  8064    1282
  9648    2049
  2592    44.9793
  3888    146.5985
  5184    524.3446
  6480    1032
  7776    1137
  1872    17.6843
  2880    62.1375
  3888    147.2138
  4896    279.6493
  5904    488.5609
  1152    5.5397
  1872    17.7128
  2592    45.6056
  3312    93.1214
  4032    166.4182
