# Size   time [s]
  4032    23.7142
  5904    66.9003
  7776    137.5080
  9648    247.4259
  11520    405.5364
  3312    14.8796
  4896    50.7519
  6480    95.6489
  8064    152.6071
  9648    249.7111
  2592    7.3553
  3888    21.1237
  5184    45.8857
  6480    97.8981
  7776    137.8242
  1872    3.3083
  2880    9.8139
  3888    21.4515
  4896    38.9591
  5904    67.1012
  1152    1.6547
  1872    3.3204
  2592    7.4464
  3312    13.9842
  4032    24.4520
