# Size   time [s]
  4032    8.6185
  5904    12.1161
  7776    47.9827
  9648    73.0220
  11520    66.3242
  3312    5.1383
  4896    7.1965
  6480    27.2437
  8064    34.4478
  9648    78.9019
  2592    4.0556
  3888    4.5796
  5184    10.9899
  6480    19.4972
  7776    41.7097
  1872    2.1503
  2880    3.3763
  3888    6.6883
  4896    10.2707
  5904    22.5314
  1152    1.2785
  1872    3.5810
  2592    7.0549
  3312    6.4041
  4032    15.2887
