# Size   time [s]
  4032    290.0107   
  5904    1098   
  7776    1586   
  9648    2911   
  3312    262.1132   
  4896    640   
  6480    1624   
  8064    6300   
  2592    136.6590   
  3888    337.5656   
  5184    2312   
  6480    3538   
  1872    38.8001   
  2880    103.5675   
  3888    1766   
  4896    514.7091   
  5904    827   
  1152    14.3839   
  1872    42.1595   
  2592    133.0518   
  3312    1348   
  4032    385.1338   
