# Ncpu   memory
 1   1.4784e+09    5.2022e+07     5.202e+07   1.44379e+09    1
   4   2.7001e+09    5.5710e+07     1.398e+07   2.63789e+09    1
   8   4.3949e+09    6.1233e+07     7.657e+06   4.29370e+09    1
  16   7.9517e+09    7.0257e+07     4.444e+06   7.76914e+09    1
  24   1.1520e+10    7.9347e+07     3.355e+06   1.12553e+10    1
  32   1.5156e+10    8.9599e+07     2.867e+06   1.48077e+10    1
  48   2.6089e+10    1.0900e+08     2.352e+06   2.54886e+10    2
