# Ncpu   time [s]
  16    1843      2
  26    1539      2
  36    1238      2
  42    1194      2
  48    1168      2
  50    914      2
  51    929      3
  56    900      2
  64    710      2
  81    572.3756      3
  90    562.2324      3
